EntrezID;EnsemblID;LogFC
92815;ENSG00000181218;-1.442287046
140738;ENSG00000171227;-1.439979401
150763;ENSG00000186281;-1.439874896
84254;ENSG00000004660;-1.431810575
57537;ENSG00000184985;-1.430600429
147837;ENSG00000188868;-1.427261525
24137;ENSG00000090889;-1.425735241
2177;ENSG00000144554;-1.422807103
10683;ENSG00000090932;-1.421218372
10125;ENSG00000172575;-1.412731347
221692;ENSG00000112137;-1.412154871
100874362;ENSG00000230148;-1.411791557
5330;ENSG00000137841;-1.411530637
414149;ENSG00000176244;-1.404052714
400084;ENSG00000249267;-1.4034434
18;ENSG00000183044;-1.396132335
26577;ENSG00000163710;-1.392430387
2258;ENSG00000129682;-1.392358648
7023;ENSG00000090447;-1.391316836
225689;ENSG00000181085;-1.38118367
1259;ENSG00000198515;-1.381038294
729522;ENSG00000250420;-1.380823424
5355;ENSG00000102007;-1.378054386
149461;ENSG00000164007;-1.378039321
55388;ENSG00000065328;-1.376414376
158326;ENSG00000164946;-1.37494223
84073;ENSG00000136449;-1.373980844
150468;ENSG00000169607;-1.371640743
3212;ENSG00000173917;-1.368365573
55143;ENSG00000134690;-1.364279401
64979;ENSG00000171421;-1.361221863
128434;ENSG00000132821;-1.35936141
3718;ENSG00000105639;-1.356299879
151242;ENSG00000150722;-1.354342461
29774;ENSG00000128262;-1.352429271
79570;ENSG00000084628;-1.350687352
148418;ENSG00000203943;-1.345816021
83461;ENSG00000111665;-1.338790361
4085;ENSG00000164109;-1.335563787
100506394;ENSG00000272695;-1.32915398
101927862;ENSG00000253978;-1.325622525
100128682;ENSG00000205786;-1.325265548
3741;ENSG00000130037;-1.321063095
57576;ENSG00000117245;-1.320897726
10591;ENSG00000112667;-1.320835083
134147;ENSG00000164237;-1.320250253
29941;ENSG00000160447;-1.318698445
646019;ENSG00000204659;-1.317315053
29127;ENSG00000161800;-1.317166865
10636;ENSG00000169220;-1.316385503
57817;ENSG00000105697;-1.312437064
727758;ENSG00000263006;-1.31169902
9156;ENSG00000174371;-1.310215069
8501;ENSG00000149150;-1.309246378
4605;ENSG00000101057;-1.308184539
91133;ENSG00000154655;-1.299742502
83990;ENSG00000136492;-1.298081094
85461;ENSG00000115183;-1.296841024
5774;ENSG00000070159;-1.295758274
23328;ENSG00000111961;-1.293956464
118980;ENSG00000156398;-1.290997773
80309;ENSG00000153820;-1.287362992
9262;ENSG00000081320;-1.280370526
23171;ENSG00000152642;-1.27692903
115207;ENSG00000178695;-1.27337567
348487;ENSG00000185519;-1.272956281
2869;ENSG00000198873;-1.272635176
113130;ENSG00000146670;-1.269151639
100128640;ENSG00000229589;-1.268480987
2887;ENSG00000106070;-1.264378097
81615;ENSG00000152128;-1.263666542
100498859;ENSG00000241135;-1.263290107
126382;ENSG00000184162;-1.262862614
84867;ENSG00000110786;-1.259138271
4145;ENSG00000007264;-1.244391889
11025;ENSG00000204577;-1.241482185
9718;ENSG00000145194;-1.240106967
2175;ENSG00000187741;-1.23919592
2863;ENSG00000183840;-1.238318367
54976;ENSG00000101220;-1.237983422
10370;ENSG00000164442;-1.236443153
2305;ENSG00000111206;-1.236346453
83903;ENSG00000177602;-1.235384947
341;ENSG00000130208;-1.23441564
56935;ENSG00000166002;-1.234363512
348926;ENSG00000251669;-1.232896766
10721;ENSG00000051341;-1.230827761
9945;ENSG00000131459;-1.229409729
51725;ENSG00000163833;-1.228434774
116447;ENSG00000184428;-1.226981302
9055;ENSG00000198901;-1.225180082
54511;ENSG00000146151;-1.221630199
2201;ENSG00000138829;-1.220512292
2308;ENSG00000150907;-1.220160126
51348;ENSG00000150045;-1.218164141
6191;ENSG00000198034;-1.217209342
29944;ENSG00000183837;-1.216587734
56479;ENSG00000185760;-1.21342957
7128;ENSG00000118503;-1.209599505
